0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,1.500000000000000000e+01
2.100000000000000000e+01,1.500000000000000000e+01
2.200000000000000000e+01,6.000000000000000000e+01
2.300000000000000000e+01,6.000000000000000000e+01
2.400000000000000000e+01,6.000000000000000000e+01
2.500000000000000000e+01,6.000000000000000000e+01
2.600000000000000000e+01,6.000000000000000000e+01
2.700000000000000000e+01,6.000000000000000000e+01
2.800000000000000000e+01,6.000000000000000000e+01
2.900000000000000000e+01,6.000000000000000000e+01
3.000000000000000000e+01,7.500000000000000000e+01
3.100000000000000000e+01,9.000000000000000000e+01
3.200000000000000000e+01,1.050000000000000000e+02
3.300000000000000000e+01,1.050000000000000000e+02
3.400000000000000000e+01,1.050000000000000000e+02
3.500000000000000000e+01,1.050000000000000000e+02
3.600000000000000000e+01,1.050000000000000000e+02
3.700000000000000000e+01,1.050000000000000000e+02
3.800000000000000000e+01,1.050000000000000000e+02
3.900000000000000000e+01,1.050000000000000000e+02
4.000000000000000000e+01,1.050000000000000000e+02
4.100000000000000000e+01,1.050000000000000000e+02
4.200000000000000000e+01,1.500000000000000000e+02
4.300000000000000000e+01,1.950000000000000000e+02
4.400000000000000000e+01,1.950000000000000000e+02
4.500000000000000000e+01,1.950000000000000000e+02
4.600000000000000000e+01,2.240000000000000000e+02
4.700000000000000000e+01,2.540000000000000000e+02
4.800000000000000000e+01,2.540000000000000000e+02
4.900000000000000000e+01,2.540000000000000000e+02
5.000000000000000000e+01,2.880000000000000000e+02
5.100000000000000000e+01,2.880000000000000000e+02
5.200000000000000000e+01,3.180000000000000000e+02
5.300000000000000000e+01,3.970000000000000000e+02
5.400000000000000000e+01,4.270000000000000000e+02
5.500000000000000000e+01,4.720000000000000000e+02
5.600000000000000000e+01,4.720000000000000000e+02
5.700000000000000000e+01,5.170000000000000000e+02
5.800000000000000000e+01,6.070000000000000000e+02
5.900000000000000000e+01,6.070000000000000000e+02
6.000000000000000000e+01,6.370000000000000000e+02
6.100000000000000000e+01,6.370000000000000000e+02
6.200000000000000000e+01,6.820000000000000000e+02
6.300000000000000000e+01,6.820000000000000000e+02
6.400000000000000000e+01,7.350000000000000000e+02
6.500000000000000000e+01,7.500000000000000000e+02
6.600000000000000000e+01,7.800000000000000000e+02
